Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1926,.21,.03,.12,-.12,-.23,-.26,-.27,-.13,-.14,-.11,-.06,-.29,-.11,-.08,.10,-.08,-.22,-.11
1927,-.27,-.17,-.38,-.30,-.26,-.27,-.19,-.24,-.13,-.01,-.06,-.33,-.22,-.21,-.24,-.31,-.23,-.06
1928,-.03,-.09,-.25,-.28,-.30,-.39,-.19,-.23,-.21,-.19,-.10,-.16,-.20,-.22,-.15,-.28,-.27,-.17
1929,-.45,-.58,-.33,-.41,-.38,-.43,-.36,-.33,-.25,-.14,-.11,-.54,-.36,-.33,-.40,-.37,-.38,-.17
1930,-.30,-.27,-.11,-.25,-.24,-.22,-.21,-.15,-.15,-.12,.18,-.06,-.16,-.20,-.37,-.20,-.19,-.03
1931,-.10,-.20,-.10,-.23,-.20,-.08,-.03,-.04,-.07,.06,-.06,-.05,-.09,-.09,-.12,-.17,-.05,-.02
1932,.15,-.17,-.18,-.06,-.18,-.29,-.24,-.22,-.10,-.09,-.27,-.26,-.16,-.14,-.02,-.14,-.25,-.15
1933,-.23,-.29,-.29,-.24,-.29,-.34,-.21,-.24,-.29,-.25,-.30,-.44,-.29,-.27,-.26,-.28,-.26,-.28
1934,-.21,-.02,-.29,-.30,-.09,-.15,-.10,-.12,-.15,-.06,.03,-.02,-.12,-.16,-.22,-.23,-.12,-.06
1935,-.34,.14,-.14,-.37,-.29,-.27,-.21,-.22,-.21,-.06,-.26,-.17,-.20,-.19,-.07,-.26,-.23,-.17
1936,-.27,-.38,-.20,-.20,-.16,-.22,-.09,-.13,-.09,-.02,.02,-.01,-.15,-.16,-.27,-.19,-.15,-.03
1937,-.07,.03,-.20,-.15,-.05,-.05,-.03,.01,.09,.09,.08,-.07,-.03,-.02,-.01,-.14,-.02,.09
1938,.09,.04,.10,.07,-.09,-.17,-.09,-.06,.01,.15,.08,-.12,.00,.00,.02,.02,-.11,.08
1939,-.05,-.06,-.17,-.10,-.04,-.07,-.05,-.06,-.07,-.04,.07,.43,-.02,-.06,-.08,-.10,-.06,-.01
1940,.00,.08,.09,.17,.11,.12,.12,.06,.15,.11,.16,.31,.12,.13,.17,.12,.10,.14
1941,.18,.31,.10,.16,.17,.13,.22,.14,.02,.35,.22,.21,.18,.19,.27,.14,.16,.20
1942,.29,.02,.05,.09,.11,.05,.00,-.04,-.03,.01,.09,.12,.06,.07,.18,.09,.00,.03
1943,-.01,.17,-.04,.11,.06,-.05,.08,.00,.05,.23,.19,.23,.09,.08,.10,.05,.01,.16
1944,.36,.24,.26,.19,.19,.15,.18,.18,.28,.26,.11,.04,.20,.22,.28,.22,.17,.22
1945,.10,.01,.06,.19,.05,.00,.04,.26,.20,.18,.07,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.03,.01,.06,-.07,-.21,-.12,-.20,-.08,-.08,-.05,-.31,-.07,-.05,.03,.00,-.18,-.07
1947,-.06,-.08,.07,.06,-.02,-.02,-.04,-.07,-.12,.07,.02,-.13,-.03,-.04,-.15,.04,-.04,-.01
1948,.06,-.15,-.24,-.12,-.01,-.05,-.11,-.12,-.14,-.05,-.12,-.24,-.11,-.10,-.07,-.12,-.09,-.11
1949,.07,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.14,-.06,-.10,-.18,-.11,-.11,-.10,-.08,-.18,-.10
1950,-.26,-.27,-.08,-.21,-.11,-.05,-.08,-.16,-.11,-.20,-.34,-.22,-.17,-.17,-.24,-.13,-.10,-.22
1951,-.34,-.42,-.20,-.14,.00,-.07,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.12,-.01,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.03,.13,-.02,.02,-.02
1953,.07,.15,.11,.19,.11,.12,.01,.05,.04,.08,-.03,.05,.08,.07,.07,.14,.06,.03
1954,-.25,-.10,-.15,-.14,-.20,-.19,-.19,-.18,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.13,-.16,-.32,-.22,-.20,-.14,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.24,-.21,-.28,-.29,-.15,-.09,-.26,-.19,-.23,-.15,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.16,.02,.15,.08,.01,.08,.15,.05,.03,-.06,.01,.11,.06
1958,.39,.22,.08,.01,.06,-.08,.05,-.05,-.03,.04,.02,.01,.06,.07,.25,.05,-.03,.01
1959,.08,.07,.18,.16,.04,.03,.03,-.01,-.06,-.07,-.08,.00,.03,.03,.05,.13,.02,-.07
1960,.00,.13,-.35,-.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19,-.03,-.04,.04,-.19,-.02,.00
1961,.07,.19,.09,.13,.12,.11,.01,.01,.08,.00,.03,-.16,.06,.09,.15,.11,.04,.04
1962,.05,.15,.10,.05,-.06,.03,.02,-.01,.00,.01,.06,-.03,.03,.02,.01,.03,.01,.02
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.23,.18,.14,.15,-.03,.05,.05,.04,-.09,.11,.16
1964,-.09,-.10,-.21,-.32,-.25,-.04,-.04,-.22,-.29,-.32,-.21,-.30,-.20,-.18,-.07,-.26,-.10,-.27
1965,-.08,-.17,-.13,-.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-.11,-.12,-.18,-.15,-.08,-.09
1966,-.19,-.04,.03,-.13,-.12,.01,.08,-.09,-.03,-.17,-.01,-.03,-.06,-.06,-.11,-.07,.00,-.07
1967,-.07,-.21,.05,-.05,.13,-.08,.02,.01,-.06,.09,-.05,-.05,-.02,-.02,-.10,.04,-.02,-.01
1968,-.26,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.14,-.08,-.07,-.15,.00,-.10,-.05
1969,-.11,-.18,.01,.17,.19,.03,-.04,.04,.08,.10,.12,.25,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.03,-.03,.01,-.10,.12,.03,.02,-.12,.03,.06,.18,.03,-.04,.06
1971,-.02,-.15,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.08,-.08,-.09,-.10,-.10,-.08,-.06
1972,-.22,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.32,.29,.27,.23,.19,.12,.05,.09,.10,.04,-.07,.16,.18,.26,.26,.12,.08
1974,-.10,-.26,-.05,-.11,-.04,-.05,-.03,.10,-.08,-.06,-.08,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.12,.04,.16,-.01,-.01,-.17,-.02,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.22,-.07,-.21,-.12,-.10,-.12,-.06,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.11,-.12
1977,.19,.22,.25,.27,.33,.27,.20,.18,.02,.04,.16,.03,.18,.19,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.06,.06,.15,-.04,.08
1979,.09,-.10,.19,.15,.04,.14,.04,.17,.25,.26,.28,.48,.16,.13,.02,.13,.11,.26
1980,.30,.39,.30,.30,.35,.20,.22,.19,.21,.13,.30,.22,.26,.28,.39,.32,.20,.21
1981,.53,.42,.48,.32,.25,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.17
1982,.05,.15,.03,.15,.18,.06,.15,.04,.14,.13,.18,.42,.14,.14,.20,.12,.08,.15
1983,.53,.43,.42,.27,.34,.22,.18,.35,.37,.17,.30,.17,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.14,.07,-.04,.16,.17,.21,.22,.13,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.17,.13,.12,.05,.14,.12,.10,.05,.15,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.15,.10,.13,.18,.18,.26,.25,.13,.09
1987,.32,.43,.18,.24,.25,.35,.40,.25,.35,.33,.29,.46,.32,.29,.29,.23,.33,.32
1988,.57,.44,.51,.43,.44,.40,.33,.39,.37,.38,.12,.29,.39,.40,.49,.46,.37,.29
1989,.13,.30,.36,.29,.17,.15,.34,.33,.34,.29,.20,.37,.27,.27,.24,.28,.27,.28
1990,.41,.44,.80,.56,.45,.38,.45,.34,.23,.45,.46,.40,.45,.45,.41,.61,.39,.38
1991,.42,.50,.35,.51,.34,.53,.47,.39,.44,.29,.30,.32,.41,.41,.44,.40,.46,.34
1992,.48,.40,.48,.27,.31,.26,.09,.08,-.01,.06,.03,.22,.22,.23,.40,.36,.14,.03
1993,.35,.37,.36,.28,.28,.23,.25,.11,.11,.23,.03,.18,.23,.23,.31,.31,.20,.13
1994,.26,.03,.29,.41,.28,.44,.30,.21,.31,.42,.44,.39,.31,.30,.16,.33,.32,.39
1995,.52,.79,.47,.46,.27,.43,.45,.45,.33,.47,.44,.26,.45,.46,.57,.40,.45,.41
1996,.24,.46,.33,.33,.27,.29,.37,.48,.25,.24,.38,.37,.33,.32,.32,.31,.38,.29
1997,.31,.40,.52,.33,.34,.54,.34,.41,.52,.61,.64,.59,.46,.44,.36,.40,.43,.59
1998,.58,.88,.63,.63,.68,.77,.66,.65,.42,.41,.43,.55,.61,.61,.68,.65,.69,.42
1999,.48,.64,.32,.32,.26,.36,.38,.31,.38,.34,.37,.41,.38,.39,.56,.30,.35,.36
2000,.25,.56,.55,.57,.36,.40,.39,.42,.39,.26,.30,.28,.39,.40,.41,.49,.41,.32
2001,.46,.44,.56,.50,.58,.52,.59,.49,.52,.50,.72,.56,.54,.51,.39,.55,.53,.58
2002,.77,.78,.88,.58,.64,.53,.62,.53,.63,.54,.59,.44,.63,.64,.71,.70,.56,.59
2003,.75,.58,.60,.55,.61,.48,.58,.65,.62,.72,.53,.75,.62,.59,.59,.58,.57,.63
2004,.58,.73,.63,.61,.37,.44,.26,.46,.49,.61,.72,.51,.53,.55,.69,.54,.38,.61
2005,.74,.60,.74,.67,.63,.64,.61,.60,.71,.75,.73,.68,.68,.66,.62,.68,.62,.73
2006,.56,.73,.63,.47,.48,.66,.54,.70,.65,.70,.74,.79,.64,.63,.65,.52,.63,.70
2007,1.02,.70,.73,.76,.69,.61,.59,.60,.60,.58,.59,.50,.66,.69,.83,.73,.60,.59
2008,.30,.38,.74,.53,.49,.49,.60,.46,.61,.67,.68,.54,.54,.54,.39,.59,.51,.65
2009,.64,.53,.54,.61,.65,.64,.73,.69,.71,.66,.79,.67,.66,.64,.57,.60,.69,.72
2010,.75,.83,.92,.84,.75,.68,.63,.67,.64,.71,.81,.45,.72,.74,.75,.84,.66,.72
2011,.52,.48,.65,.65,.53,.62,.70,.75,.56,.66,.59,.60,.61,.60,.48,.61,.69,.60
2012,.49,.49,.58,.73,.78,.64,.58,.66,.72,.80,.78,.52,.65,.65,.53,.70,.63,.77
2013,.71,.62,.67,.54,.61,.69,.60,.70,.76,.69,.83,.70,.68,.66,.62,.60,.66,.76
2014,.76,.55,.78,.79,.86,.67,.58,.83,.87,.80,.66,.77,.74,.74,.67,.81,.69,.78
2015,.86,.90,.96,.76,.80,.81,.73,.79,.85,1.09,1.06,1.16,.90,.87,.84,.84,.78,1.00
2016,1.17,1.37,1.36,1.10,.95,.80,.85,1.02,.90,.88,.92,.86,1.01,1.04,1.23,1.14,.89,.90
2017,1.02,1.14,1.16,.94,.91,.72,.82,.87,.77,.90,.88,.93,.92,.92,1.01,1.01,.80,.85
2018,.82,.85,.88,.89,.82,.77,.82,.77,.80,1.01,.82,.91,.85,.85,.86,.86,.79,.88
2019,.93,.95,1.17,1.01,.85,.90,.94,.95,.92,1.00,.99,1.09,.98,.96,.93,1.01,.93,.97
2020,1.17,1.24,1.17,1.13,1.01,.92,.90,.87,.98,.88,1.10,.80,1.01,1.04,1.17,1.10,.89,.99
2021,.81,.64,.89,.75,.78,.84,.92,.82,.92,1.00,.94,.86,.85,.84,.75,.81,.86,.95
2022,.91,.89,1.05,.84,.84,.92,.94,.95,.89,.96,.72,.80,.89,.90,.89,.91,.94,.86
2023,.87,.98,1.20,1.00,.94,1.08,1.19,1.19,1.48,1.34,1.43,1.37,1.17,1.12,.88,1.05,1.15,1.41
